# Character seed list for Character Mode.
# Format: display name | bulbapedia page title | category
# Categories: protagonist, champion, elite4, gymleader, rival, villain, anime
# Lines starting with # are ignored. Display names must fit menu width (<=14 chars).

# --- Game protagonists ---
Red | Red (game) | protagonist
Leaf | Leaf (game) | protagonist
Ethan | Ethan (game) | protagonist
Kris | Kris (game) | protagonist
Lyra | Lyra (game) | protagonist
Brendan | Brendan (game) | protagonist
May | May (game) | protagonist
Lucas | Lucas (game) | protagonist
Dawn | Dawn (game) | protagonist
Hilbert | Hilbert (game) | protagonist
Hilda | Hilda (game) | protagonist
Nate | Nate (game) | protagonist
Rosa | Rosa (game) | protagonist
Calem | Calem (game) | protagonist
Serena | Serena (game) | protagonist
Elio | Elio (game) | protagonist
Selene | Selene (game) | protagonist
Victor | Victor (game) | protagonist
Gloria | Gloria (game) | protagonist

# --- Champions ---
Blue | Blue (game) | champion
Lance | Lance (game) | champion
Steven | Steven Stone | champion
Wallace | Wallace (game) | champion
Cynthia | Cynthia (game) | champion
Alder | Alder (game) | champion
Iris | Iris (game) | champion
Diantha | Diantha (game) | champion
Kukui | Professor Kukui | champion
Hau | Hau (game) | champion
Leon | Leon (game) | champion
Geeta | Geeta (game) | champion
Nemona | Nemona (game) | champion

# --- Elite Four (by region) ---
Lorelei | Lorelei (game) | elite4
Bruno | Bruno (game) | elite4
Agatha | Agatha (game) | elite4
Will | Will (game) | elite4
Koga | Koga (game) | elite4
Karen | Karen (game) | elite4
Sidney | Sidney (game) | elite4
Phoebe | Phoebe (game) | elite4
Glacia | Glacia (game) | elite4
Drake | Drake (game) | elite4
Aaron | Aaron (game) | elite4
Bertha | Bertha (game) | elite4
Flint | Flint (game) | elite4
Lucian | Lucian (game) | elite4
Shauntal | Shauntal (game) | elite4
Marshal | Marshal (game) | elite4
Grimsley | Grimsley (game) | elite4
Caitlin | Caitlin (game) | elite4
Malva | Malva (game) | elite4
Siebold | Siebold (game) | elite4
Wikstrom | Wikstrom (game) | elite4
Drasna | Drasna (game) | elite4
Molayne | Molayne (game) | elite4
Kahili | Kahili (game) | elite4
Acerola | Acerola (game) | elite4
Rika | Rika (game) | elite4
Poppy | Poppy (game) | elite4
Hassel | Hassel (game) | elite4

# --- Gym Leaders: Kanto ---
Brock | Brock (game) | gymleader
Misty | Misty (game) | gymleader
Lt. Surge | Lt. Surge (game) | gymleader
Erika | Erika (game) | gymleader
Sabrina | Sabrina (game) | gymleader
Blaine | Blaine (game) | gymleader
Janine | Janine (game) | gymleader

# --- Gym Leaders: Johto ---
Falkner | Falkner (game) | gymleader
Bugsy | Bugsy (game) | gymleader
Whitney | Whitney (game) | gymleader
Morty | Morty (game) | gymleader
Chuck | Chuck (game) | gymleader
Jasmine | Jasmine (game) | gymleader
Pryce | Pryce (game) | gymleader
Clair | Clair (game) | gymleader

# --- Gym Leaders: Hoenn ---
Roxanne | Roxanne (game) | gymleader
Brawly | Brawly (game) | gymleader
Wattson | Wattson (game) | gymleader
Flannery | Flannery (game) | gymleader
Norman | Norman (game) | gymleader
Winona | Winona (game) | gymleader
Tate | Tate (game) | gymleader
Liza | Liza (game) | gymleader
Juan | Juan (game) | gymleader

# --- Gym Leaders: Sinnoh ---
Roark | Roark (game) | gymleader
Gardenia | Gardenia (game) | gymleader
Maylene | Maylene (game) | gymleader
Crasher Wake | Crasher Wake | gymleader
Fantina | Fantina (game) | gymleader
Byron | Byron (game) | gymleader
Candice | Candice (game) | gymleader
Volkner | Volkner (game) | gymleader

# --- Gym Leaders: Unova ---
Cilan | Cilan (game) | gymleader
Chili | Chili (game) | gymleader
Cress | Cress (game) | gymleader
Lenora | Lenora (game) | gymleader
Burgh | Burgh (game) | gymleader
Elesa | Elesa (game) | gymleader
Clay | Clay (game) | gymleader
Skyla | Skyla (game) | gymleader
Brycen | Brycen (game) | gymleader
Drayden | Drayden (game) | gymleader
Cheren | Cheren (game) | gymleader
Roxie | Roxie (game) | gymleader
Marlon | Marlon (game) | gymleader

# --- Gym Leaders: Kalos ---
Viola | Viola (game) | gymleader
Grant | Grant (game) | gymleader
Korrina | Korrina (game) | gymleader
Ramos | Ramos (game) | gymleader
Clemont | Clemont (game) | gymleader
Valerie | Valerie (game) | gymleader
Olympia | Olympia (game) | gymleader
Wulfric | Wulfric (game) | gymleader

# --- Island Kahunas: Alola ---
Hala | Hala (game) | gymleader
Olivia | Olivia (game) | gymleader
Nanu | Nanu (game) | gymleader
