character,category,base_species,keep(Y/n)
Aaron,elite4,SPECIES_CARNIVINE,Y
Aaron,elite4,SPECIES_CLEFFA,Y
Aaron,elite4,SPECIES_COMBEE,Y
Aaron,elite4,SPECIES_GIBLE,Y
Aaron,elite4,SPECIES_HEATRAN,Y
Aaron,elite4,SPECIES_HERACROSS,Y
Aaron,elite4,SPECIES_LICKITUNG,Y
Aaron,elite4,SPECIES_SCYTHER,Y
Aaron,elite4,SPECIES_SEVIPER,Y
Aaron,elite4,SPECIES_SHELLOS,Y
Aaron,elite4,SPECIES_SKORUPI,Y
Aaron,elite4,SPECIES_STUNKY,Y
Aaron,elite4,SPECIES_TRAPINCH,Y
Aaron,elite4,SPECIES_WURMPLE,Y
Aaron,elite4,SPECIES_YANMA,Y
Acerola,elite4,SPECIES_CELESTEELA,Y
Acerola,elite4,SPECIES_COSMOG,Y
Acerola,elite4,SPECIES_CUBONE,Y
Acerola,elite4,SPECIES_DHELMISE,Y
Acerola,elite4,SPECIES_DRIFLOON,Y
Acerola,elite4,SPECIES_FRILLISH,Y
Acerola,elite4,SPECIES_GASTLY,Y
Acerola,elite4,SPECIES_GUZZLORD,Y
Acerola,elite4,SPECIES_KARTANA,Y
Acerola,elite4,SPECIES_MEOWTH,Y
Acerola,elite4,SPECIES_MIMIKYU,Y
Acerola,elite4,SPECIES_MISDREAVUS,Y
Acerola,elite4,SPECIES_MUDBRAY,Y
Acerola,elite4,SPECIES_NECROZMA,Y
Acerola,elite4,SPECIES_PHEROMOSA,Y
Acerola,elite4,SPECIES_SABLEYE,Y
Acerola,elite4,SPECIES_SANDILE,Y
Acerola,elite4,SPECIES_SANDYGAST,Y
Acerola,elite4,SPECIES_SHUPPET,Y
Acerola,elite4,SPECIES_SNORUNT,Y
Acerola,elite4,SPECIES_TAPU_BULU,Y
Acerola,elite4,SPECIES_TAPU_LELE,Y
Acerola,elite4,SPECIES_TYPE_NULL,Y
Agatha,elite4,SPECIES_ABRA,Y
Agatha,elite4,SPECIES_BULBASAUR,Y
Agatha,elite4,SPECIES_CACNEA,Y
Agatha,elite4,SPECIES_CHARMANDER,Y
Agatha,elite4,SPECIES_CLEFFA,Y
Agatha,elite4,SPECIES_CUBONE,Y
Agatha,elite4,SPECIES_DODUO,Y
Agatha,elite4,SPECIES_EKANS,Y
Agatha,elite4,SPECIES_GASTLY,Y
Agatha,elite4,SPECIES_GRIMER,Y
Agatha,elite4,SPECIES_KOFFING,Y
Agatha,elite4,SPECIES_MAGIKARP,Y
Agatha,elite4,SPECIES_MISDREAVUS,Y
Agatha,elite4,SPECIES_PICHU,Y
Agatha,elite4,SPECIES_RHYHORN,Y
Agatha,elite4,SPECIES_SCYTHER,Y
Agatha,elite4,SPECIES_SMOOCHUM,Y
Agatha,elite4,SPECIES_ZUBAT,Y
Alain,anime,SPECIES_BELDUM,Y
Alain,anime,SPECIES_CHARMANDER,Y
Alain,anime,SPECIES_CHESPIN,Y
Alain,anime,SPECIES_FLETCHLING,Y
Alain,anime,SPECIES_FROAKIE,Y
Alain,anime,SPECIES_GIBLE,Y
Alain,anime,SPECIES_GOOMY,Y
Alain,anime,SPECIES_GROOKEY,Y
Alain,anime,SPECIES_HAWLUCHA,Y
Alain,anime,SPECIES_INKAY,Y
Alain,anime,SPECIES_LARVITAR,Y
Alain,anime,SPECIES_MAGIKARP,Y
Alain,anime,SPECIES_NOIBAT,Y
Alain,anime,SPECIES_PAWNIARD,Y
Alain,anime,SPECIES_PICHU,Y
Alain,anime,SPECIES_PIDOVE,Y
Alain,anime,SPECIES_SNEASEL,Y
Alder,champion,SPECIES_ARCHEN,Y
Alder,champion,SPECIES_AXEW,Y
Alder,champion,SPECIES_BOUFFALANT,Y
Alder,champion,SPECIES_DARUMAKA,Y
Alder,champion,SPECIES_DRUDDIGON,Y
Alder,champion,SPECIES_KARRABLAST,Y
Alder,champion,SPECIES_LARVESTA,Y
Alder,champion,SPECIES_LILLIPUP,Y
Alder,champion,SPECIES_LITWICK,Y
Alder,champion,SPECIES_MIENFOO,Y
Alder,champion,SPECIES_PICHU,Y
Alder,champion,SPECIES_ROGGENROLA,Y
Alder,champion,SPECIES_RUFFLET,Y
Alder,champion,SPECIES_SANDILE,Y
Alder,champion,SPECIES_SHELMET,Y
Alder,champion,SPECIES_SNIVY,Y
Alder,champion,SPECIES_SOLOSIS,Y
Alder,champion,SPECIES_TEPIG,Y
Alder,champion,SPECIES_TIMBURR,Y
Alder,champion,SPECIES_VANILLITE,Y
Alder,champion,SPECIES_ZEKROM,Y
Alder,champion,SPECIES_ZORUA,Y
Allister,gymleader,SPECIES_CORSOLA_GALARIAN,Y
Allister,gymleader,SPECIES_DREEPY,Y
Allister,gymleader,SPECIES_DUSKULL,Y
Allister,gymleader,SPECIES_ETERNATUS,Y
Allister,gymleader,SPECIES_GASTLY,Y
Allister,gymleader,SPECIES_LITWICK,Y
Allister,gymleader,SPECIES_MIMIKYU,Y
Allister,gymleader,SPECIES_ORANGURU,Y
Allister,gymleader,SPECIES_PUMPKABOO,Y
Allister,gymleader,SPECIES_SINISTEA,Y
Allister,gymleader,SPECIES_SOBBLE,Y
Allister,gymleader,SPECIES_SPIRITOMB,Y
Allister,gymleader,SPECIES_TOXEL,Y
Allister,gymleader,SPECIES_YAMASK,Y
Allister,gymleader,SPECIES_YAMASK_GALARIAN,Y
Archer,villain,SPECIES_ARCEUS,Y
Archer,villain,SPECIES_BELLSPROUT,Y
Archer,villain,SPECIES_DIALGA,Y
Archer,villain,SPECIES_DRATINI,Y
Archer,villain,SPECIES_DROWZEE,Y
Archer,villain,SPECIES_GIRATINA,Y
Archer,villain,SPECIES_GRIMER,Y
Archer,villain,SPECIES_HOUNDOUR,Y
Archer,villain,SPECIES_KOFFING,Y
Archer,villain,SPECIES_LARVITAR,Y
Archer,villain,SPECIES_MAGBY,Y
Archer,villain,SPECIES_MEOWTH,Y
Archer,villain,SPECIES_MISDREAVUS,Y
Archer,villain,SPECIES_PALKIA,Y
Archer,villain,SPECIES_PARAS,Y
Archer,villain,SPECIES_RATTATA,Y
Archer,villain,SPECIES_REMORAID,Y
Archer,villain,SPECIES_TOTODILE,Y
Archer,villain,SPECIES_VOLTORB,Y
Archer,villain,SPECIES_WYNAUT,Y
Archer,villain,SPECIES_ZUBAT,Y
Archie,villain,SPECIES_CARVANHA,Y
Archie,villain,SPECIES_DRATINI,Y
Archie,villain,SPECIES_FEEBAS,Y
Archie,villain,SPECIES_GRIMER,Y
Archie,villain,SPECIES_GROUDON,Y
Archie,villain,SPECIES_HOOPA,Y
Archie,villain,SPECIES_KYOGRE,Y
Archie,villain,SPECIES_MAGIKARP,Y
Archie,villain,SPECIES_MINUN,Y
Archie,villain,SPECIES_MUDKIP,Y
Archie,villain,SPECIES_NUMEL,Y
Archie,villain,SPECIES_PICHU,Y
Archie,villain,SPECIES_PLUSLE,Y
Archie,villain,SPECIES_POOCHYENA,Y
Archie,villain,SPECIES_SPHEAL,Y
Archie,villain,SPECIES_TENTACOOL,Y
Archie,villain,SPECIES_WURMPLE,Y
Archie,villain,SPECIES_ZUBAT,Y
Ariana,villain,SPECIES_BELLSPROUT,Y
Ariana,villain,SPECIES_DROWZEE,Y
Ariana,villain,SPECIES_EKANS,Y
Ariana,villain,SPECIES_GRIMER,Y
Ariana,villain,SPECIES_KABUTO,Y
Ariana,villain,SPECIES_LICKITUNG,Y
Ariana,villain,SPECIES_MURKROW,Y
Ariana,villain,SPECIES_ODDISH,Y
Ariana,villain,SPECIES_RATTATA,Y
Ariana,villain,SPECIES_RHYHORN,Y
Ariana,villain,SPECIES_SLUGMA,Y
Ariana,villain,SPECIES_SNEASEL,Y
Ariana,villain,SPECIES_ZUBAT,Y
Arven,rival,SPECIES_BOMBIRDIER,Y
Arven,rival,SPECIES_BRUTE_BONNET,Y
Arven,rival,SPECIES_CAPSAKID,Y
Arven,rival,SPECIES_CETODDLE,Y
Arven,rival,SPECIES_DONDOZO,Y
Arven,rival,SPECIES_EEVEE,Y
Arven,rival,SPECIES_FLUTTER_MANE,Y
Arven,rival,SPECIES_GREAT_TUSK,Y
Arven,rival,SPECIES_IRON_HANDS,Y
Arven,rival,SPECIES_IRON_JUGULIS,Y
Arven,rival,SPECIES_IRON_TREADS,Y
Arven,rival,SPECIES_KLAWF,Y
Arven,rival,SPECIES_MASCHIFF,Y
Arven,rival,SPECIES_NACLI,Y
Arven,rival,SPECIES_ORTHWORM,Y
Arven,rival,SPECIES_PECHARUNT,Y
Arven,rival,SPECIES_SHELLDER,Y
Arven,rival,SPECIES_SKWOVET,Y
Arven,rival,SPECIES_TATSUGIRI,Y
Arven,rival,SPECIES_TOEDSCOOL,Y
Ash,anime,SPECIES_BERGMITE,Y
Ash,anime,SPECIES_CHARMANDER,Y
Ash,anime,SPECIES_CHIMCHAR,Y
Ash,anime,SPECIES_CLOBBOPUS,Y
Ash,anime,SPECIES_COSMOG,Y
Ash,anime,SPECIES_DARKRAI,Y
Ash,anime,SPECIES_DRACOVISH,Y
Ash,anime,SPECIES_DRATINI,Y
Ash,anime,SPECIES_ETERNATUS,Y
Ash,anime,SPECIES_FARFETCHD_GALARIAN,Y
Ash,anime,SPECIES_FROAKIE,Y
Ash,anime,SPECIES_GASTLY,Y
Ash,anime,SPECIES_GIBLE,Y
Ash,anime,SPECIES_GOOMY,Y
Ash,anime,SPECIES_HOPPIP,Y
Ash,anime,SPECIES_LATIOS,Y
Ash,anime,SPECIES_LITTEN,Y
Ash,anime,SPECIES_LUGIA,Y
Ash,anime,SPECIES_MACHOP,Y
Ash,anime,SPECIES_MAGIKARP,Y
Ash,anime,SPECIES_MELTAN,Y
Ash,anime,SPECIES_MIMIKYU,Y
Ash,anime,SPECIES_MURKROW,Y
Ash,anime,SPECIES_ODDISH,Y
Ash,anime,SPECIES_PICHU,Y
Ash,anime,SPECIES_PIDOVE,Y
Ash,anime,SPECIES_RESHIRAM,Y
Ash,anime,SPECIES_RIOLU,Y
Ash,anime,SPECIES_ROCKRUFF,Y
Ash,anime,SPECIES_SCATTERBUG,Y
Ash,anime,SPECIES_SCRAGGY,Y
Ash,anime,SPECIES_STARLY,Y
Ash,anime,SPECIES_TAILLOW,Y
Ash,anime,SPECIES_TORCHIC,Y
Ash,anime,SPECIES_YUNGOOS,Y
Ash,anime,SPECIES_ZEKROM,Y
Ash,anime,SPECIES_ZYGARDE,Y
Barry,rival,SPECIES_BUDEW,Y
Barry,rival,SPECIES_BUIZEL,Y
Barry,rival,SPECIES_CHIMCHAR,Y
Barry,rival,SPECIES_CRANIDOS,Y
Barry,rival,SPECIES_DRATINI,Y
Barry,rival,SPECIES_FEEBAS,Y
Barry,rival,SPECIES_HERACROSS,Y
Barry,rival,SPECIES_MUNCHLAX,Y
Barry,rival,SPECIES_PIPLUP,Y
Barry,rival,SPECIES_PONYTA,Y
Barry,rival,SPECIES_RHYHORN,Y
Barry,rival,SPECIES_STARLY,Y
Barry,rival,SPECIES_STUNKY,Y
Barry,rival,SPECIES_TURTWIG,Y
Bea,gymleader,SPECIES_CHARMANDER,Y
Bea,gymleader,SPECIES_CLOBBOPUS,Y
Bea,gymleader,SPECIES_DRACOVISH,Y
Bea,gymleader,SPECIES_DRATINI,Y
Bea,gymleader,SPECIES_ETERNATUS,Y
Bea,gymleader,SPECIES_FALINKS,Y
Bea,gymleader,SPECIES_FARFETCHD_GALARIAN,Y
Bea,gymleader,SPECIES_HAWLUCHA,Y
Bea,gymleader,SPECIES_MACHOP,Y
Bea,gymleader,SPECIES_MORPEKO,Y
Bea,gymleader,SPECIES_PANCHAM,Y
Bea,gymleader,SPECIES_POLIWAG,Y
Bea,gymleader,SPECIES_RHYHORN,Y
Bea,gymleader,SPECIES_RIOLU,Y
Bea,gymleader,SPECIES_SAWK,Y
Bea,gymleader,SPECIES_SCRAGGY,Y
Bea,gymleader,SPECIES_THROH,Y
Bea,gymleader,SPECIES_TRUBBISH,Y
Bea,gymleader,SPECIES_TYROGUE,Y
Bea,gymleader,SPECIES_VANILLITE,Y
Bea,gymleader,SPECIES_WOOLOO,Y
Bede,rival,SPECIES_ARTICUNO,Y
Bede,rival,SPECIES_CALYREX,Y
Bede,rival,SPECIES_CATERPIE,Y
Bede,rival,SPECIES_CUFANT,Y
Bede,rival,SPECIES_EEVEE,Y
Bede,rival,SPECIES_ETERNATUS,Y
Bede,rival,SPECIES_GOTHITA,Y
Bede,rival,SPECIES_HATENNA,Y
Bede,rival,SPECIES_IRON_VALIANT,Y
Bede,rival,SPECIES_MAWILE,Y
Bede,rival,SPECIES_MOLTRES,Y
Bede,rival,SPECIES_PONYTA,Y
Bede,rival,SPECIES_RALTS,Y
Bede,rival,SPECIES_REGICE,Y
Bede,rival,SPECIES_REGIROCK,Y
Bede,rival,SPECIES_REGISTEEL,Y
Bede,rival,SPECIES_ROOKIDEE,Y
Bede,rival,SPECIES_SOBBLE,Y
Bede,rival,SPECIES_SOLOSIS,Y
Bede,rival,SPECIES_SPECTRIER,Y
Bede,rival,SPECIES_TIMBURR,Y
Bede,rival,SPECIES_ZACIAN,Y
Bede,rival,SPECIES_ZAMAZENTA,Y
Bede,rival,SPECIES_ZAPDOS,Y
Bertha,elite4,SPECIES_BARBOACH,Y
Bertha,elite4,SPECIES_BONSLY,Y
Bertha,elite4,SPECIES_CARNIVINE,Y
Bertha,elite4,SPECIES_GEODUDE,Y
Bertha,elite4,SPECIES_GLIGAR,Y
Bertha,elite4,SPECIES_HIPPOPOTAS,Y
Bertha,elite4,SPECIES_MAGBY,Y
Bertha,elite4,SPECIES_NIDORAN_M,Y
Bertha,elite4,SPECIES_RHYHORN,Y
Bertha,elite4,SPECIES_SEVIPER,Y
Bertha,elite4,SPECIES_STARLY,Y
Bertha,elite4,SPECIES_SWINUB,Y
Bertha,elite4,SPECIES_TURTWIG,Y
Bertha,elite4,SPECIES_WOOPER,Y
Bianca,rival,SPECIES_AUDINO,Y
Bianca,rival,SPECIES_AXEW,Y
Bianca,rival,SPECIES_HEATRAN,Y
Bianca,rival,SPECIES_LILLIPUP,Y
Bianca,rival,SPECIES_LITWICK,Y
Bianca,rival,SPECIES_MIENFOO,Y
Bianca,rival,SPECIES_MUNNA,Y
Bianca,rival,SPECIES_OSHAWOTT,Y
Bianca,rival,SPECIES_PANPOUR,Y
Bianca,rival,SPECIES_PANSAGE,Y
Bianca,rival,SPECIES_PANSEAR,Y
Bianca,rival,SPECIES_PURRLOIN,Y
Bianca,rival,SPECIES_SNIVY,Y
Bianca,rival,SPECIES_TEPIG,Y
Bianca,rival,SPECIES_TYNAMO,Y
Bianca,rival,SPECIES_VIRIZION,Y
Blaine,gymleader,SPECIES_ARTICUNO,Y
Blaine,gymleader,SPECIES_CHARMANDER,Y
Blaine,gymleader,SPECIES_CLEFFA,Y
Blaine,gymleader,SPECIES_EEVEE,Y
Blaine,gymleader,SPECIES_GEODUDE,Y
Blaine,gymleader,SPECIES_GROWLITHE,Y
Blaine,gymleader,SPECIES_HAPPINY,Y
Blaine,gymleader,SPECIES_HOUNDOUR,Y
Blaine,gymleader,SPECIES_IGGLYBUFF,Y
Blaine,gymleader,SPECIES_KANGASKHAN,Y
Blaine,gymleader,SPECIES_MAGBY,Y
Blaine,gymleader,SPECIES_MANKEY,Y
Blaine,gymleader,SPECIES_MEOWTH,Y
Blaine,gymleader,SPECIES_MIMEJR,Y
Blaine,gymleader,SPECIES_MOLTRES,Y
Blaine,gymleader,SPECIES_NUMEL,Y
Blaine,gymleader,SPECIES_ODDISH,Y
Blaine,gymleader,SPECIES_PARAS,Y
Blaine,gymleader,SPECIES_PICHU,Y
Blaine,gymleader,SPECIES_PONYTA,Y
Blaine,gymleader,SPECIES_REMORAID,Y
Blaine,gymleader,SPECIES_RHYHORN,Y
Blaine,gymleader,SPECIES_ROTOM,Y
Blaine,gymleader,SPECIES_SLUGMA,Y
Blaine,gymleader,SPECIES_SQUIRTLE,Y
Blaine,gymleader,SPECIES_TANGELA,Y
Blaine,gymleader,SPECIES_TOGEPI,Y
Blaine,gymleader,SPECIES_TORKOAL,Y
Blaine,gymleader,SPECIES_VOLTORB,Y
Blaine,gymleader,SPECIES_VULPIX,Y
Blue,champion,SPECIES_ABRA,Y
Blue,champion,SPECIES_AERODACTYL,Y
Blue,champion,SPECIES_BULBASAUR,Y
Blue,champion,SPECIES_CHARMANDER,Y
Blue,champion,SPECIES_CLEFFA,Y
Blue,champion,SPECIES_DRATINI,Y
Blue,champion,SPECIES_EEVEE,Y
Blue,champion,SPECIES_EKANS,Y
Blue,champion,SPECIES_ELEKID,Y
Blue,champion,SPECIES_EXEGGCUTE,Y
Blue,champion,SPECIES_GASTLY,Y
Blue,champion,SPECIES_GROWLITHE,Y
Blue,champion,SPECIES_HERACROSS,Y
Blue,champion,SPECIES_HORSEA,Y
Blue,champion,SPECIES_HOUNDOUR,Y
Blue,champion,SPECIES_LAPRAS,Y
Blue,champion,SPECIES_LARVITAR,Y
Blue,champion,SPECIES_MACHOP,Y
Blue,champion,SPECIES_MAGIKARP,Y
Blue,champion,SPECIES_MAGNEMITE,Y
Blue,champion,SPECIES_MILTANK,Y
Blue,champion,SPECIES_PICHU,Y
Blue,champion,SPECIES_PIDGEY,Y
Blue,champion,SPECIES_PINSIR,Y
Blue,champion,SPECIES_RHYHORN,Y
Blue,champion,SPECIES_SANDSHREW,Y
Blue,champion,SPECIES_SCYTHER,Y
Blue,champion,SPECIES_SHELLDER,Y
Blue,champion,SPECIES_SLOWPOKE,Y
Blue,champion,SPECIES_SQUIRTLE,Y
Blue,champion,SPECIES_SWINUB,Y
Blue,champion,SPECIES_TAUROS,Y
Blue,champion,SPECIES_TOTODILE,Y
Blue,champion,SPECIES_VULPIX,Y
Blue,champion,SPECIES_ZAPDOS,Y
Brassius,gymleader,SPECIES_APPLIN,Y
Brassius,gymleader,SPECIES_BONSLY,Y
Brassius,gymleader,SPECIES_BOUNSWEET,Y
Brassius,gymleader,SPECIES_CHARCADET,Y
Brassius,gymleader,SPECIES_FINIZEN,Y
Brassius,gymleader,SPECIES_FRIGIBAX,Y
Brassius,gymleader,SPECIES_FUECOCO,Y
Brassius,gymleader,SPECIES_ODDISH,Y
Brassius,gymleader,SPECIES_PETILIL,Y
Brassius,gymleader,SPECIES_SHROOMISH,Y
Brassius,gymleader,SPECIES_SMOLIV,Y
Brassius,gymleader,SPECIES_SUNKERN,Y
Brassius,gymleader,SPECIES_TAROUNTULA,Y
Brawly,gymleader,SPECIES_CLEFFA,Y
Brawly,gymleader,SPECIES_GROUDON,Y
Brawly,gymleader,SPECIES_HERACROSS,Y
Brawly,gymleader,SPECIES_MACHOP,Y
Brawly,gymleader,SPECIES_MAKUHITA,Y
Brawly,gymleader,SPECIES_MEDITITE,Y
Brawly,gymleader,SPECIES_MIENFOO,Y
Brawly,gymleader,SPECIES_SABLEYE,Y
Brawly,gymleader,SPECIES_SCRAGGY,Y
Brawly,gymleader,SPECIES_SHROOMISH,Y
Brawly,gymleader,SPECIES_TYROGUE,Y
Brawly,gymleader,SPECIES_WAILMER,Y
Brawly,gymleader,SPECIES_WINGULL,Y
Brendan,protagonist,SPECIES_ARON,Y
Brendan,protagonist,SPECIES_BAGON,Y
Brendan,protagonist,SPECIES_BALTOY,Y
Brendan,protagonist,SPECIES_ELECTRIKE,Y
Brendan,protagonist,SPECIES_GROUDON,Y
Brendan,protagonist,SPECIES_LARVITAR,Y
Brendan,protagonist,SPECIES_LATIAS,Y
Brendan,protagonist,SPECIES_LATIOS,Y
Brendan,protagonist,SPECIES_LOTAD,Y
Brendan,protagonist,SPECIES_MAGBY,Y
Brendan,protagonist,SPECIES_MUDKIP,Y
