Red              ow=OBJ_EVENT_GFX_RED_NORMAL           front=TRAINER_PIC_RED            back=TRAINER_BACK_PIC_RED
Leaf             ow=OBJ_EVENT_GFX_LEAF_NORMAL          front=TRAINER_PIC_LEAF           back=TRAINER_BACK_PIC_LEAF
Blue             ow=-                                  front=-                          back=-
Lance            ow=-                                  front=-                          back=-
Lorelei          ow=-                                  front=-                          back=-
Bruno            ow=-                                  front=-                          back=-
Agatha           ow=-                                  front=-                          back=-
Koga             ow=-                                  front=-                          back=-
Brock            ow=-                                  front=-                          back=-
Misty            ow=-                                  front=-                          back=-
Lt. Surge        ow=-                                  front=-                          back=-
Erika            ow=-                                  front=-                          back=-
Sabrina          ow=-                                  front=-                          back=-
Blaine           ow=-                                  front=-                          back=-
Giovanni         ow=-                                  front=-                          back=-
Ash              ow=-                                  front=-                          back=-
Gary             ow=-                                  front=-                          back=-
Ritchie          ow=-                                  front=-                          back=-
Tracey           ow=-                                  front=-                          back=-
Jessie           ow=-                                  front=-                          back=-
James            ow=-                                  front=-                          back=-
Ethan            ow=-                                  front=-                          back=-
Kris             ow=-                                  front=-                          back=-
Lyra             ow=-                                  front=-                          back=-
Will             ow=-                                  front=-                          back=-
Karen            ow=-                                  front=-                          back=-
Janine           ow=-                                  front=-                          back=-
Falkner          ow=-                                  front=-                          back=-
Bugsy            ow=-                                  front=-                          back=-
Whitney          ow=-                                  front=-                          back=-
Morty            ow=-                                  front=-                          back=-
Chuck            ow=-                                  front=-                          back=-
Jasmine          ow=-                                  front=-                          back=-
Pryce            ow=-                                  front=-                          back=-
Clair            ow=-                                  front=-                          back=-
Silver           ow=-                                  front=-                          back=-
Archer           ow=-                                  front=-                          back=-
Ariana           ow=-                                  front=-                          back=-
Brendan          ow=OBJ_EVENT_GFX_BRENDAN_NORMAL       front=TRAINER_PIC_BRENDAN        back=TRAINER_BACK_PIC_BRENDAN
May              ow=OBJ_EVENT_GFX_MAY_NORMAL           front=TRAINER_PIC_MAY            back=TRAINER_BACK_PIC_MAY
Steven           ow=OBJ_EVENT_GFX_STEVEN               front=TRAINER_PIC_STEVEN         back=TRAINER_BACK_PIC_STEVEN
Wallace          ow=OBJ_EVENT_GFX_WALLACE              front=-                          back=-
Sidney           ow=OBJ_EVENT_GFX_SIDNEY               front=TRAINER_PIC_ELITE_FOUR_SIDNEY back=-
Phoebe           ow=OBJ_EVENT_GFX_PHOEBE               front=TRAINER_PIC_ELITE_FOUR_PHOEBE back=-
Glacia           ow=OBJ_EVENT_GFX_GLACIA               front=TRAINER_PIC_ELITE_FOUR_GLACIA back=-
Drake            ow=OBJ_EVENT_GFX_DRAKE                front=TRAINER_PIC_ELITE_FOUR_DRAKE back=-
Roxanne          ow=OBJ_EVENT_GFX_ROXANNE              front=TRAINER_PIC_LEADER_ROXANNE back=-
Brawly           ow=OBJ_EVENT_GFX_BRAWLY               front=TRAINER_PIC_LEADER_BRAWLY  back=-
Wattson          ow=OBJ_EVENT_GFX_WATTSON              front=TRAINER_PIC_LEADER_WATTSON back=-
Flannery         ow=OBJ_EVENT_GFX_FLANNERY             front=TRAINER_PIC_LEADER_FLANNERY back=-
Norman           ow=OBJ_EVENT_GFX_NORMAN               front=TRAINER_PIC_LEADER_NORMAN  back=-
Winona           ow=OBJ_EVENT_GFX_WINONA               front=TRAINER_PIC_LEADER_WINONA  back=-
Tate             ow=OBJ_EVENT_GFX_TATE                 front=-                          back=-
Liza             ow=OBJ_EVENT_GFX_LIZA                 front=-                          back=-
Juan             ow=OBJ_EVENT_GFX_JUAN                 front=TRAINER_PIC_LEADER_JUAN    back=-
Wally            ow=OBJ_EVENT_GFX_WALLY                front=TRAINER_PIC_WALLY          back=TRAINER_BACK_PIC_WALLY
Maxie            ow=OBJ_EVENT_GFX_MAXIE                front=TRAINER_PIC_MAGMA_LEADER_MAXIE back=-
Archie           ow=OBJ_EVENT_GFX_ARCHIE               front=TRAINER_PIC_AQUA_LEADER_ARCHIE back=-
Drew             ow=-                                  front=-                          back=-
Lucas            ow=-                                  front=-                          back=-
Dawn             ow=-                                  front=-                          back=-
Cynthia          ow=-                                  front=-                          back=-
Aaron            ow=-                                  front=-                          back=-
Bertha           ow=-                                  front=-                          back=-
Flint            ow=-                                  front=-                          back=-
Lucian           ow=-                                  front=-                          back=-
Roark            ow=-                                  front=-                          back=-
Gardenia         ow=-                                  front=-                          back=-
Maylene          ow=-                                  front=-                          back=-
Crasher Wake     ow=-                                  front=-                          back=-
Fantina          ow=-                                  front=-                          back=-
Byron            ow=-                                  front=-                          back=-
Candice          ow=-                                  front=-                          back=-
Volkner          ow=-                                  front=-                          back=-
Barry            ow=-                                  front=-                          back=-
Cyrus            ow=-                                  front=-                          back=-
Mars             ow=-                                  front=-                          back=-
Jupiter          ow=-                                  front=-                          back=-
Saturn           ow=-                                  front=-                          back=-
Paul             ow=-                                  front=-                          back=-
Zoey             ow=-                                  front=-                          back=-
Nando            ow=-                                  front=-                          back=-
Hilbert          ow=OBJ_EVENT_GFX_HILBERT_NORMAL       front=TRAINER_PIC_HILBERT        back=TRAINER_BACK_PIC_HILBERT
Hilda            ow=-                                  front=-                          back=-
Nate             ow=-                                  front=-                          back=-
Rosa             ow=-                                  front=-                          back=-
Alder            ow=-                                  front=-                          back=-
Iris             ow=-                                  front=-                          back=-
Shauntal         ow=-                                  front=-                          back=-
Marshal          ow=-                                  front=-                          back=-
Grimsley         ow=-                                  front=-                          back=-
Caitlin          ow=-                                  front=-                          back=-
Cilan            ow=-                                  front=-                          back=-
Chili            ow=-                                  front=-                          back=-
Cress            ow=-                                  front=-                          back=-
Lenora           ow=-                                  front=-                          back=-
Burgh            ow=-                                  front=-                          back=-
Elesa            ow=-                                  front=-                          back=-
Clay             ow=-                                  front=-                          back=-
Skyla            ow=-                                  front=-                          back=-
Brycen           ow=-                                  front=-                          back=-
Drayden          ow=-                                  front=-                          back=-
Cheren           ow=-                                  front=-                          back=-
Roxie            ow=-                                  front=-                          back=-
Marlon           ow=-                                  front=-                          back=-
Bianca           ow=-                                  front=-                          back=-
Hugh             ow=-                                  front=-                          back=-
N                ow=-                                  front=-                          back=-
Ghetsis          ow=-                                  front=-                          back=-
Colress          ow=-                                  front=-                          back=-
Trip             ow=-                                  front=-                          back=-
Calem            ow=-                                  front=-                          back=-
Serena           ow=-                                  front=-                          back=-
Diantha          ow=-                                  front=-                          back=-
Malva            ow=-                                  front=-                          back=-
Siebold          ow=-                                  front=-                          back=-
Wikstrom         ow=-                                  front=-                          back=-
Drasna           ow=-                                  front=-                          back=-
Viola            ow=-                                  front=-                          back=-
Grant            ow=-                                  front=-                          back=-
Korrina          ow=-                                  front=-                          back=-
Ramos            ow=-                                  front=-                          back=-
Clemont          ow=-                                  front=-                          back=-
Valerie          ow=-                                  front=-                          back=-
Olympia          ow=-                                  front=-                          back=-
Wulfric          ow=-                                  front=-                          back=-
Shauna           ow=-                                  front=-                          back=-
Lysandre         ow=-                                  front=-                          back=-
Alain            ow=-                                  front=-                          back=-
Sawyer           ow=-                                  front=-                          back=-
Elio             ow=-                                  front=-                          back=-
Selene           ow=-                                  front=-                          back=-
Kukui            ow=-                                  front=-                          back=-
Hau              ow=-                                  front=-                          back=-
Molayne          ow=-                                  front=-                          back=-
Kahili           ow=-                                  front=-                          back=-
Acerola          ow=-                                  front=-                          back=-
Hala             ow=-                                  front=-                          back=-
Olivia           ow=-                                  front=-                          back=-
Nanu             ow=-                                  front=-                          back=-
Hapu             ow=-                                  front=-                          back=-
Gladion          ow=-                                  front=-                          back=-
Guzma            ow=-                                  front=-                          back=-
Plumeria         ow=-                                  front=-                          back=-
Lusamine         ow=-                                  front=-                          back=-
Lillie (anime)   ow=-                                  front=-                          back=-
Kiawe (anime)    ow=-                                  front=-                          back=-
Lana (anime)     ow=-                                  front=-                          back=-
Mallow (anime)   ow=-                                  front=-                          back=-
Sophocles        ow=-                                  front=-                          back=-
Victor           ow=-                                  front=-                          back=-
Gloria           ow=-                                  front=-                          back=-
Leon             ow=-                                  front=-                          back=-
Milo             ow=-                                  front=-                          back=-
Nessa            ow=-                                  front=-                          back=-
Kabu             ow=-                                  front=-                          back=-
Bea              ow=-                                  front=-                          back=-
Allister         ow=-                                  front=-                          back=-
Opal             ow=-                                  front=-                          back=-
Gordie           ow=-                                  front=-                          back=-
Melony           ow=-                                  front=-                          back=-
Piers            ow=-                                  front=-                          back=-
Raihan           ow=-                                  front=-                          back=-
Hop              ow=-                                  front=-                          back=-
Bede             ow=-                                  front=-                          back=-
Marnie           ow=-                                  front=-                          back=-
Rose             ow=-                                  front=-                          back=-
Goh              ow=-                                  front=-                          back=-
Chloe            ow=-                                  front=-                          back=-
Geeta            ow=-                                  front=-                          back=-
Nemona           ow=-                                  front=-                          back=-
Rika             ow=-                                  front=-                          back=-
Poppy            ow=-                                  front=-                          back=-
Hassel           ow=-                                  front=-                          back=-
Katy             ow=-                                  front=-                          back=-
Brassius         ow=-                                  front=-                          back=-
Iono             ow=-                                  front=-                          back=-
Kofu             ow=-                                  front=-                          back=-
Larry            ow=-                                  front=-                          back=-
Ryme             ow=-                                  front=-                          back=-
Tulip            ow=-                                  front=-                          back=-
Grusha           ow=-                                  front=-                          back=-
Arven            ow=-                                  front=-                          back=-
Penny            ow=-                                  front=-                          back=-
